framework,provider,model,instance_id,strict_success,artifact_delivered,patch_applies,official_success,tokens_total,cost_total_usd,runtime_seconds,failure_reason
stigmergic_v7_repair_colony,deepseek,deepseek-v4-flash,erhmutlu__iyzico__kafka__demo,False,False,False,False,57253,0.009199,132.264,missing_final_patch
stigmergic_v7_repair_colony,deepseek,deepseek-v4-flash,citymonstret__rorledning,False,False,False,False,38405,0.005373,106.1075,missing_final_patch
stigmergic_v7_repair_colony,deepseek,deepseek-v4-flash,runtimetools__javametrics,False,True,False,False,126521,0.019855,486.0319,"git_apply_check_failed:error: patch failed: spring/pom.xml:1
error: spring/pom.xml: patch does not apply
"
stigmergic_v7_repair_colony,deepseek,deepseek-v4-flash,mercateo__rest__schemagen,False,False,False,False,80801,0.013953,300.9766,missing_final_patch
stigmergic_v7_repair_colony,deepseek,deepseek-v4-flash,erudika__para,False,False,False,False,577497,0.03877,860.9462,missing_final_patch
stigmergic_v7_repair_colony,deepseek,deepseek-v4-flash,packtpublishing__master__java__unit__testing__with__spring__boot__and__mockito,False,False,False,False,161816,0.013863,252.7037,missing_final_patch
stigmergic_v7_repair_colony,deepseek,deepseek-v4-flash,exabrial__form__binding,False,True,True,False,61569,0.010101,250.1826,official_eval_failed
stigmergic_v7_repair_colony,deepseek,deepseek-v4-flash,comic__con__museum__fan__forge__backend,True,True,True,True,2370,0.000352,69.6858,ok
stigmergic_v7_repair_colony,deepseek,deepseek-v4-flash,seesharpsoft__sharping,False,False,False,False,87409,0.009394,104.8522,missing_final_patch
stigmergic_v7_repair_colony,deepseek,deepseek-v4-flash,refactoring__bot__refactoring__bot,False,False,False,False,52467,0.005529,107.203,missing_final_patch
stigmergic_v7_repair_colony,deepseek,deepseek-v4-flash,evandylan__unicorn,False,False,False,False,92526,0.013992,194.7929,missing_final_patch
